,Zone,Lat,Lng
211,Meatpacking/West Village West,40.7409865,-74.0076108
212,Midtown Center,42.7835541,-86.1113196
213,Midtown East,40.7540369,-73.9668408
214,Midtown North,40.7649516,-73.98510390000001
215,Midtown South,40.753823100000005,-73.9950023
216,Midwood,40.619062899999996,-73.9653715
217,Morningside Heights,40.8089564,-73.96243270000001
218,Morrisania/Melrose,40.824545,-73.9104143
219,Mott Haven/Port Morris,40.809106799999995,-73.9228881
220,Mount Hope,40.622934,-81.78613299999999
221,Murray Hill,40.7478792,-73.9756567
222,Murray Hill-Queens,40.7665245,-73.8036752
223,Norwood,42.1943909,-71.19896949999999
224,Ocean Hill,33.1600272,-117.2644629
225,Old Astoria,46.1519015,-123.8579416
226,Park Slope,40.6681038,-73.9805817
227,Parkchester,40.83825220000001,-73.85660870000001
228,Pelham Bay,40.85055560000001,-73.83333329999999
229,Penn Station/Madison Sq West,40.7483605,-73.9907657
230,Prospect-Lefferts Gardens,40.6590448,-73.9506774
231,Prospect Heights,40.6774196,-73.9668408
232,Queens Village,40.7156628,-73.7419017
233,Red Hook,40.677280200000006,-74.00944709999999
234,Rego Park,40.7255722,-73.8624893
235,Richmond Hill,40.6958108,-73.8272029
236,Ridgewood,40.9792645,-74.11653129999999
237,Riverdale/North Riverdale/Fieldston,40.898057,-73.90140179999999
238,Rosedale,33.8534421,-91.0278863
239,Saint Albans,38.3793695,-81.8191658
240,Seaport,37.9378182,-121.3141291
241,Sheepshead Bay,40.5975847,-73.9536163
242,SoHo,40.723301,-74.0029883
243,Soundview/Bruckner,40.8240844,-73.8762153
244,South Jamaica,40.680859399999996,-73.7919103
245,South Ozone Park,40.6764003,-73.81249840000001
246,Springfield Gardens South,40.6626441,-73.7683784
247,Spuyten Duyvil/Kingsbridge,40.87941970000001,-73.9074286
248,Steinway,40.780043799999994,-73.8996985
249,Stuy Town/Peter Cooper Village,40.7316903,-73.97784940000001
250,Stuyvesant Heights,42.3880474,-73.775696
251,Sunnyside,36.732844,-119.7170466
252,Sunset Park West,40.645532,-74.01238509999999
253,Sutton Place/Turtle Bay North,40.757105700000004,-73.96711020000001
254,Times Sq/Theatre District,40.759011,-73.98447220000001
255,TriBeCa/Civic Center,40.716364899999995,-74.0123498
256,Two Bridges/Seward Park,40.7157874,-73.98920109999999
257,UN/Turtle Bay South,40.7488758,-73.96800909999999
258,Union Sq,40.7358633,-73.9910835
259,University Heights/Morris Heights,40.8523957,-73.9135172
260,Upper East Side North,40.7735649,-73.9565551
261,Upper East Side South,40.7735649,-73.9565551
262,Upper West Side North,40.7870106,-73.9753676
263,Upper West Side South,40.7870106,-73.9753676
